UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA 
SP,35,14957,Embaúba,2.456
SP,35,15004,Embu das Artes,270.843
SP,35,15103,Embu-Guaçu,68.856
SP,35,15129,Emilianópolis,3.202
SP,35,15152,Engenheiro Coelho,20.284
SP,35,15186,Espírito Santo do Pinhal,44.186
SP,35,15194,Espírito Santo do Turvo,4.779
SP,35,15202,Estrela d'Oeste,8.418
SP,35,15301,Estrela do Norte,2.762
SP,35,15350,Euclides da Cunha Paulista,9.419
SP,35,15400,Fartura,16.001
SP,35,15509,Fernandópolis,68.823
SP,35,15608,Fernando Prestes,5.771
SP,35,15657,Fernão,1.704
SP,35,15707,Ferraz de Vasconcelos,191.993
SP,35,15806,Flora Rica,1.499
SP,35,15905,Floreal,2.934
SP,35,16002,Flórida Paulista,14.486
SP,35,16101,Florínia,2.699
SP,35,16200,Franca,350.400
SP,35,16309,Francisco Morato,174.008
SP,35,16408,Franco da Rocha,152.433
SP,35,16507,Gabriel Monteiro,2.776
SP,35,16606,Gália,6.615
SP,35,16705,Garça,44.370
SP,35,16804,Gastão Vidigal,4.754
SP,35,16853,Gavião Peixoto,4.762
SP,35,16903,General Salgado,10.876
SP,35,17000,Getulina,11.370
SP,35,17109,Glicério,4.801
SP,35,17208,Guaiçara,12.039
SP,35,17307,Guaimbê,5.743
SP,35,17406,Guaíra,40.533
SP,35,17505,Guapiaçu,21.125
SP,35,17604,Guapiara,17.293
SP,35,17703,Guará,21.129
SP,35,17802,Guaraçaí,8.357
SP,35,17901,Guaraci,11.088
SP,35,18008,Guarani d'Oeste,2.002
SP,35,18107,Guarantã,6.654
SP,35,18206,Guararapes,32.774
SP,35,18305,Guararema,29.451
SP,35,18404,Guaratinguetá,121.073
SP,35,18503,Guareí,18.143
SP,35,18602,Guariba,39.714
SP,35,18701,Guarujá,318.107
SP,35,18800,Guarulhos,1.365.899
SP,35,18859,Guatapará,7.602
SP,35,18909,Guzolândia,5.226
SP,35,19006,Herculândia,9.462
SP,35,19055,Holambra,14.579
SP,35,19071,Hortolândia,227.353
SP,35,19105,Iacanga,11.559
SP,35,19204,Iacri,6.348
SP,35,19253,Iaras,8.956
SP,35,19303,Ibaté,34.726
SP,35,19402,Ibirá,12.264
SP,35,19501,Ibirarema,7.663
SP,35,19600,Ibitinga,59.451
SP,35,19709,Ibiúna,78.262
SP,35,19808,Icém,8.181
SP,35,19907,Iepê,8.124
SP,35,20004,Igaraçu do Tietê,24.598
SP,35,20103,Igarapava,30.246
SP,35,20202,Igaratá,9.483
SP,35,20301,Iguape,30.721
SP,35,20400,Ilhabela,34.333
SP,35,20426,Ilha Comprida,10.965
SP,35,20442,Ilha Solteira,26.582
SP,35,20509,Indaiatuba,246.908
SP,35,20608,Indiana,4.892
SP,35,20707,Indiaporã,3.908
SP,35,20806,Inúbia Paulista,3.963
SP,35,20905,Ipaussu,14.869
SP,35,21002,Iperó,36.280
SP,35,21101,Ipeúna,7.401
SP,35,21150,Ipiguá,5.306
SP,35,21200,Iporanga,4.238
SP,35,21309,Ipuã,16.209
SP,35,21408,Iracemápolis,23.846
SP,35,21507,Irapuã,7.937
SP,35,21606,Irapuru,8.261
SP,35,21705,Itaberá,17.635
SP,35,21804,Itaí,26.861
SP,35,21903,Itajobi,15.226
SP,35,22000,Itaju,3.782
SP,35,22109,Itanhaém,100.496
SP,35,22158,Itaóca,3.326
SP,35,22208,Itapecerica da Serra,173.672
SP,35,22307,Itapetininga,162.231
SP,35,22406,Itapeva,93.892
SP,35,22505,Itapevi,234.352
SP,35,22604,Itapira,74.299
SP,35,22653,Itapirapuã Paulista,4.213
SP,35,22703,Itápolis,42.903
SP,35,22802,Itaporanga,15.125
SP,35,22901,Itapuí,13.833
SP,35,23008,Itapura,4.860
SP,35,23107,Itaquaquecetuba,366.519
SP,35,23206,Itararé,50.360
SP,35,23305,Itariri,17.271
SP,35,23404,Itatiba,119.090
SP,35,23503,Itatinga,20.467
SP,35,23602,Itirapina,17.922
SP,35,23701,Itirapuã,6.453
SP,35,23800,Itobi,7.830
SP,35,23909,Itu,172.268
SP,35,24006,Itupeva,59.649
SP,35,24105,Ituverava,41.598
SP,35,24204,Jaborandi,6.911
SP,35,24303,Jaboticabal,76.864
SP,35,24402,Jacareí,231.863
SP,35,24501,Jaci,6.934
SP,35,24600,Jacupiranga,17.842
SP,35,24709,Jaguariúna,56.221
SP,35,24808,Jales,49.011
SP,35,24907,Jambeiro,6.485
SP,35,25003,Jandira,123.481
SP,35,25102,Jardinópolis,43.774
SP,35,25201,Jarinu,29.456
SP,35,25300,Jaú,148.581
SP,35,25409,Jeriquara,3.168
SP,35,25508,Joanópolis,13.098
SP,35,25607,João Ramalho,4.495
SP,35,25706,José Bonifácio,36.655
SP,35,25805,Júlio Mesquita,4.752
SP,35,25854,Jumirim,3.315
SP,35,25904,Jundiaí,414.810
SP,35,26001,Junqueirópolis,20.524
SP,35,26100,Juquiá,18.908
SP,35,26209,Juquitiba,31.235
SP,35,26308,Lagoinha,4.903
SP,35,26407,Laranjal Paulista,28.240
SP,35,26506,Lavínia,11.667
SP,35,26605,Lavrinhas,7.207
SP,35,26704,Leme,102.412
SP,35,26803,Lençóis Paulista,67.859
SP,35,26902,Limeira,303.682
SP,35,27009,Lindóia,7.864
SP,35,27108,Lins,77.510
SP,35,27207,Lorena,88.276
SP,35,27256,Lourdes,2.278
SP,35,27306,Louveira,47.748
SP,35,27405,Lucélia,21.604
SP,35,27504,Lucianópolis,2.385
SP,35,27603,Luís Antônio,14.592
SP,35,27702,Luiziânia,5.723
SP,35,27801,Lupércio,4.571
SP,35,27900,Lutécia,2.663
SP,35,28007,Macatuba,17.111
SP,35,28106,Macaubal,8.093
SP,35,28205,Macedônia,3.704
SP,35,28304,Magda,3.136
SP,35,28403,Mairinque,46.852
SP,35,28502,Mairiporã,98.374
SP,35,28601,Manduri,9.780
SP,35,28700,Marabá Paulista,5.757
SP,35,28809,Maracaí,13.967
SP,35,28858,Marapoama,2.996
SP,35,28908,Mariápolis,4.077
SP,35,29005,Marília,237.130
SP,35,29104,Marinópolis,2.117
SP,35,29203,Martinópolis,26.289
SP,35,29302,Matão,82.702
SP,35,29401,Mauá,468.148
SP,35,29500,Mendonça,5.413
SP,35,29609,Meridiano,3.848
SP,35,29658,Mesópolis,1.910
SP,35,29708,Miguelópolis,22.093
SP,35,29807,Mineiros do Tietê,12.849
SP,35,29906,Miracatu,19.919
SP,35,30003,Mira Estrela,3.066
SP,35,30102,Mirandópolis,29.418
SP,35,30201,Mirante do Paranapanema,18.178
SP,35,30300,Mirassol,59.333
SP,35,30409,Mirassolândia,4.822
SP,35,30508,Mococa,68.788
SP,35,30607,Mogi das Cruzes,440.769
SP,35,30706,Mogi Guaçu,150.713
SP,35,30805,Mogi Mirim,92.715
SP,35,30904,Mombuca,3.478
SP,35,31001,Monções,2.252
SP,35,31100,Mongaguá,55.731
SP,35,31209,Monte Alegre do Sul,7.964
SP,35,31308,Monte Alto,50.216
SP,35,31407,Monte Aprazível,24.794
SP,35,31506,Monte Azul Paulista,19.050
SP,35,31605,Monte Castelo,4.166
SP,35,31704,Monteiro Lobato,4.608
SP,35,31803,Monte Mor,58.765
SP,35,31902,Morro Agudo,32.641
SP,35,32009,Morungaba,13.458
SP,35,32058,Motuca,4.720
SP,35,32108,Murutinga do Sul,4.466
SP,35,32157,Nantes,3.103
SP,35,32207,Narandiba,4.809
SP,35,32306,Natividade da Serra,6.681
SP,35,32405,Nazaré Paulista,18.346
SP,35,32504,Neves Paulista,8.936
SP,35,32603,Nhandeara,11.427
SP,35,32702,Nipoã,5.126
SP,35,32801,Nova Aliança,6.875
SP,35,32827,Nova Campina,9.647
SP,35,32843,Nova Canaã Paulista,1.911
SP,35,32868,Nova Castilho,1.255
SP,35,32900,Nova Europa,11.013
SP,35,33007,Nova Granada,21.307
SP,35,33106,Nova Guataporanga,2.308
SP,35,33205,Nova Independência,3.883
SP,35,33254,Novais,5.712
SP,35,33304,Nova Luzitânia,4.041
SP,35,33403,Nova Odessa,59.371
SP,35,33502,Novo Horizonte,40.680
SP,35,33601,Nuporanga,7.386
SP,35,33700,Ocauçu,4.287
SP,35,33809,Óleo,2.522
SP,35,33908,Olímpia,54.406
SP,35,34005,Onda Verde,4.339
SP,35,34104,Oriente,6.487
SP,35,34203,Orindiúva,6.935
SP,35,34302,Orlândia,43.687
SP,35,34401,Osasco,696.850
SP,35,34500,Oscar Bressane,2.602
SP,35,34609,Osvaldo Cruz,32.754
SP,35,34708,Ourinhos,112.711
SP,35,34757,Ouroeste,10.177
SP,35,34807,Ouro Verde,8.503
SP,35,34906,Pacaembu,14.130
SP,35,35002,Palestina,12.786
SP,35,35101,Palmares Paulista,13.058
SP,35,35200,Palmeira d'Oeste,9.340
SP,35,35309,Palmital,22.168
SP,35,35408,Panorama,15.690
SP,35,35507,Paraguaçu Paulista,45.455
SP,35,35606,Paraibuna,18.180
SP,35,35705,Paraíso,6.411
SP,35,35804,Paranapanema,19.993
SP,35,35903,Paranapuã,4.061
SP,35,36000,Parapuã,10.980
SP,35,36109,Pardinho,6.360
SP,35,36208,Pariquera-Açu,19.570
SP,35,36257,Parisi,2.153
SP,35,36307,Patrocínio Paulista,14.529
SP,35,36406,Paulicéia,7.274
SP,35,36505,Paulínia,106.776
SP,35,36570,Paulistânia,1.832
SP,35,36604,Paulo de Faria,8.930
